scenario_type,fixed_value,num_av,num_pv,runtime_sec,baseline_total_distance,greedy_total_distance,total_saving,matched_pv,matched_ratio,avg_saving_per_pv
pv_sweep,5,5,20,2.8665992431342602e-05,718,565,153,9,0.45,17.0
pv_sweep,5,5,50,4.662491846829653e-05,1902,1749,153,9,0.18,17.0
pv_sweep,5,5,100,8.150003850460052e-05,3418,3265,153,9,0.09,17.0
pv_sweep,5,5,200,0.00017520796973258257,6844,6691,153,9,0.045,17.0
pv_sweep,5,5,400,0.0002935000229626894,13211,13058,153,9,0.0225,17.0
pv_sweep,5,5,800,0.0005764579400420189,25506,25353,153,9,0.01125,17.0
pv_sweep,5,5,1600,0.0011312090791761875,51575,51422,153,9,0.005625,17.0
pv_sweep,5,5,2000,0.0018060000147670507,64548,64395,153,9,0.0045,17.0
pv_sweep,20,20,20,8.68749339133501e-05,1269,703,566,16,0.8,35.375
pv_sweep,20,20,50,0.00018041604198515415,2176,1273,903,34,0.68,26.558823529411764
pv_sweep,20,20,100,0.000493000028654933,3761,2786,975,35,0.35,27.857142857142858
pv_sweep,20,20,200,0.004497791989706457,7218,6237,981,35,0.175,28.02857142857143
pv_sweep,20,20,400,0.007277666009031236,13531,12548,983,35,0.0875,28.085714285714285
pv_sweep,20,20,800,0.011323958984576166,25938,24955,983,35,0.04375,28.085714285714285
pv_sweep,20,20,1600,0.009886041982099414,51947,50964,983,35,0.021875,28.085714285714285
pv_sweep,20,20,2000,0.0074842090252786875,65092,64109,983,35,0.0175,28.085714285714285
pv_sweep,50,50,20,0.0002939589321613312,2217,1485,732,20,1.0,36.6
pv_sweep,50,50,50,0.0004515420878306031,3027,1512,1515,50,1.0,30.3
pv_sweep,50,50,100,0.0008767079561948776,4828,2155,2673,88,0.88,30.375
pv_sweep,50,50,200,0.0015229589771479368,8019,5075,2944,99,0.495,29.737373737373737
pv_sweep,50,50,400,0.003245666972361505,14387,11432,2955,99,0.2475,29.848484848484848
pv_sweep,50,50,800,0.007338125025853515,26891,23934,2957,99,0.12375,29.86868686868687
pv_sweep,50,50,1600,0.013730290927924216,52736,49774,2962,99,0.061875,29.91919191919192
pv_sweep,50,50,2000,0.01791695796418935,66083,63115,2968,99,0.0495,29.97979797979798
pv_sweep,160,160,20,0.0005343339871615171,5427,4783,644,20,1.0,32.2
pv_sweep,160,160,50,0.00132079201284796,6236,4783,1453,50,1.0,29.06
pv_sweep,160,160,100,0.0031587500125169754,7947,4810,3137,99,0.99,31.68686868686869
pv_sweep,160,160,200,0.005070541985332966,11088,5097,5991,193,0.965,31.041450777202073
pv_sweep,160,160,400,0.01114308403339237,17559,8425,9134,312,0.78,29.275641025641026
