algorithm,scenario_type,fixed_value,seed,highway_length,min_trip_length,capacity_min,capacity_max,num_av,num_pv,enable_time_constraints,time_tolerance,time_window,runtime_sec,baseline_total_distance,greedy_total_distance,total_saving,matched_pv,matched_ratio,avg_saving_per_pv,saving_percent,av_utilization,av_utilization_weighted,pv_coverage,pv_coverage_weighted
greedy,capacity_sweep,2,42,100,10,1,2,50,200,True,5.0,100.0,0.22613041699514724,7645,5684,1961,68,0.34,28.83823529411765,25.650752125572268,88.40736291045589,88.42239185750635,21.520016274937785,32.29046599703606
greedy,capacity_sweep,2,43,100,10,1,2,50,200,True,5.0,100.0,0.2475757079955656,7993,6122,1871,62,0.31,30.177419354838708,23.407981984236205,84.11347496080123,89.00506970849176,22.455150465307042,29.16601714731099
greedy,capacity_sweep,2,44,100,10,1,2,50,200,True,5.0,100.0,0.20263970899395645,7521,5850,1671,57,0.285,29.31578947368421,22.21779018747507,79.66469189008656,81.68647845468054,20.521255724988713,27.060728744939272
greedy,capacity_sweep,2,45,100,10,1,2,50,200,True,5.0,100.0,0.24650483397999778,8538,6258,2280,72,0.36,31.666666666666668,26.704146170063247,88.54250911672061,86.54285714285714,26.151157877772654,33.58868591632292
greedy,capacity_sweep,4,42,100,10,1,4,50,200,True,5.0,100.0,0.34010845798184164,7645,5029,2616,97,0.485,26.969072164948454,34.21844342707652,75.82289113319395,77.92620865139949,32.575961968233194,43.07590976453153
greedy,capacity_sweep,4,43,100,10,1,4,50,200,True,5.0,100.0,0.3154264999902807,7993,5401,2592,94,0.47,27.574468085106382,32.42837482797448,74.29282715528797,78.194972539079,35.19994670813458,40.40530007794232
greedy,capacity_sweep,4,44,100,10,1,4,50,200,True,5.0,100.0,0.2743169589957688,7521,5270,2251,84,0.42,26.797619047619047,29.929530647520274,71.29946279383435,74.45517582961863,31.131972347042524,36.45344129554656
greedy,capacity_sweep,4,45,100,10,1,4,50,200,True,5.0,100.0,0.35452854199684225,8538,5160,3378,106,0.53,31.867924528301888,39.56430077301476,75.3820366453491,76.5904761904762,41.10113970774394,49.76428992339422
greedy,capacity_sweep,8,42,100,10,1,8,50,200,True,5.0,100.0,0.41952687498996966,7645,4116,3529,130,0.65,27.146153846153847,46.16088947024199,53.85382381996754,58.51016297104083,48.799669422152554,58.109665733574836
greedy,capacity_sweep,8,43,100,10,1,8,50,200,True,5.0,100.0,0.4132932089851238,7993,4616,3377,128,0.64,26.3828125,42.249468284749156,56.51172152758835,63.108138692739445,48.63972599209565,52.64224473889322
greedy,capacity_sweep,8,44,100,10,1,8,50,200,True,5.0,100.0,0.37552095897262916,7521,4525,2996,113,0.565,26.513274336283185,39.83512830740593,55.394861790275,59.98567183188283,44.951812477008474,48.51821862348178
greedy,capacity_sweep,8,45,100,10,1,8,50,200,True,5.0,100.0,0.49889141600579023,8538,4218,4320,140,0.7,30.857142857142858,50.59732958538299,58.9127354059262,61.42142857142857,57.83643456635521,63.64172068355922
greedy,capacity_sweep,16,42,100,10,1,16,50,200,True,5.0,100.0,0.4222015000123065,7645,3715,3930,139,0.695,28.27338129496403,51.406147809025505,31.707837564025603,37.33686161167078,56.238267453558784,64.71266260497283
greedy,capacity_sweep,16,43,100,10,1,16,50,200,True,5.0,100.0,0.45604225000715815,7993,4043,3950,149,0.745,26.51006711409396,49.418240960840734,38.34672891112948,45.75623951812165,59.576960363363526,61.57443491816056
greedy,capacity_sweep,16,44,100,10,1,16,50,200,True,5.0,100.0,0.4339165420096833,7521,4047,3474,135,0.675,25.733333333333334,46.19066613482249,35.61376499015365,39.166800468806414,54.76407845637486,56.25910931174089
greedy,capacity_sweep,16,45,100,10,1,16,50,200,True,5.0,100.0,0.5077523329819087,8538,3528,5010,164,0.82,30.548780487804876,58.67884750527056,37.317903683487195,41.9936480979338,70.57734536564581,73.80671773718326
