algorithm,scenario_type,fixed_value,seed,highway_length,min_trip_length,capacity_min,capacity_max,num_av,num_pv,enable_time_constraints,time_tolerance,time_window,runtime_sec,baseline_total_distance,greedy_total_distance,total_saving,matched_pv,matched_ratio,avg_saving_per_pv,saving_percent,av_utilization,av_utilization_weighted,pv_coverage,pv_coverage_weighted
greedy,length_sweep,50,42,50,10,1,3,80,400,False,5.0,50.0,1.8418420420202892,9156,6147,3009,161,0.4025,18.68944099378882,32.863695937090434,99.83630952380952,99.80894583052373,33.0651547710135,39.21543073113515
greedy,length_sweep,50,43,50,10,1,3,80,400,False,5.0,50.0,1.9290049579867627,9550,6091,3459,169,0.4225,20.467455621301774,36.21989528795812,99.94569569569569,99.89602828030775,34.99438558453473,43.52585881464704
greedy,length_sweep,50,44,50,10,1,3,80,400,False,5.0,50.0,1.7630920420051552,9805,6646,3159,151,0.3775,20.920529801324502,32.2182559918409,99.90926689824866,99.79499794997949,31.105598158386957,38.62330358234503
greedy,length_sweep,100,42,100,10,1,3,80,400,False,5.0,100.0,1.8093713340058457,15289,10964,4325,147,0.3675,29.421768707482993,28.288311858198707,99.94415807560138,99.80594118525153,26.772781644016305,33.1265318627451
greedy,length_sweep,100,43,100,10,1,3,80,400,False,5.0,100.0,2.085388082981808,15614,10058,5556,162,0.405,34.2962962962963,35.583450749327525,99.66424508549825,99.69424928441323,31.461697702208657,42.568188783328225
greedy,length_sweep,100,44,100,10,1,3,80,400,False,5.0,100.0,1.836722792009823,15919,10242,5677,158,0.395,35.93037974683544,35.66178780074125,99.86462906931658,99.73920426977197,30.996051260420998,43.10227013894161
greedy,length_sweep,200,42,200,10,1,3,80,400,False,5.0,200.0,1.7939916659961455,25154,17974,7180,142,0.355,50.563380281690144,28.544167925578435,99.70480854046782,99.5252758532204,25.85527044232547,33.77710871712848
greedy,length_sweep,200,43,200,10,1,3,80,400,False,5.0,200.0,2.036570541007677,27730,18457,9273,151,0.3775,61.41059602649007,33.440317345834835,99.45635183189138,99.56893263141833,27.736186201430115,39.69436239886991
greedy,length_sweep,200,44,200,10,1,3,80,400,False,5.0,200.0,2.1699783339863643,27030,17589,9441,154,0.385,61.3051948051948,34.92785793562708,99.70397945569657,99.31559226122198,27.676994210633126,41.64350932909885
greedy,length_sweep,400,42,400,10,1,3,80,400,False,5.0,400.0,2.082815292000305,49913,36607,13306,130,0.325,102.35384615384615,26.658385590928212,99.84196166241028,99.75378279165548,21.781849676689113,31.332564108601975
greedy,length_sweep,400,43,400,10,1,3,80,400,False,5.0,400.0,2.1858520839887206,52515,32691,19824,147,0.3675,134.85714285714286,37.749214510139964,99.7788537306686,99.72706649652629,26.678467607426754,45.983623669133166
greedy,length_sweep,400,44,400,10,1,3,80,400,False,5.0,400.0,2.3622312500083353,52120,31092,21028,158,0.395,133.08860759493672,40.34535686876439,99.73052813092346,99.54277906243429,29.926482713058785,49.354551002206264
greedy,length_sweep,800,42,800,10,1,3,80,400,False,5.0,800.0,1.8653435420128517,97819,71284,26535,126,0.315,210.5952380952381,27.126631840439998,99.92260043133936,99.71830361103719,20.821634447290993,32.05058520853716
greedy,length_sweep,800,43,800,10,1,3,80,400,False,5.0,800.0,2.0427859170013107,100138,66329,33809,137,0.3425,246.7810218978102,33.76240787712956,99.87742636275928,99.90271226415095,23.82144340285976,40.64656519752819
greedy,length_sweep,800,44,800,10,1,3,80,400,False,5.0,800.0,2.2789269170025364,102228,64990,37238,139,0.3475,267.8992805755396,36.426419376296124,99.8353190107502,99.7878469383783,24.959916954229502,43.756903480529246
