algorithm,scenario_type,fixed_value,seed,highway_length,min_trip_length,capacity_min,capacity_max,num_av,num_pv,enable_time_constraints,time_tolerance,time_window,runtime_sec,baseline_total_distance,greedy_total_distance,total_saving,matched_pv,matched_ratio,avg_saving_per_pv,saving_percent,av_utilization,av_utilization_weighted,pv_coverage,pv_coverage_weighted
greedy,pv_sweep,20,42,100,10,1,3,20,50,True,5.0,100.0,0.005774208024377003,2345,1916,429,19,0.38,22.57894736842105,18.294243070362473,43.37893069864699,52.27394328517924,27.008998166367736,24.912891986062718
greedy,pv_sweep,20,43,100,10,1,3,20,50,True,5.0,100.0,0.006330749980406836,2121,1631,490,19,0.38,25.789473684210527,23.1023102310231,38.71932238295485,46.434634974533104,28.015644085125597,31.98433420365535
greedy,pv_sweep,20,44,100,10,1,3,20,50,True,5.0,100.0,0.0035056670021731406,1968,1686,282,12,0.24,23.5,14.329268292682926,33.0911728883563,38.78091872791519,17.86160380898771,20.114122681883025
greedy,pv_sweep,20,45,100,10,1,3,20,50,True,5.0,100.0,0.007327749975956976,2246,1504,742,24,0.48,30.916666666666668,33.03650934995548,39.84169544879202,49.37828790052606,40.80169698046936,47.90187217559716
greedy,pv_sweep,20,42,100,10,1,3,20,100,True,5.0,100.0,0.02168716600863263,3679,3072,607,26,0.26,23.346153846153847,16.499048654525687,64.06321363671269,70.19796682718031,19.10198090099312,19.862565445026178
greedy,pv_sweep,20,43,100,10,1,3,20,100,True,5.0,100.0,0.023701500002061948,3473,2760,713,27,0.27,26.40740740740741,20.52980132450331,54.16412492340957,63.10130164119977,19.04363843463306,24.72260748959778
greedy,pv_sweep,20,44,100,10,1,3,20,100,True,5.0,100.0,0.022683375020278618,3391,2780,611,25,0.25,24.44,18.018283692126218,60.19976692752939,66.66666666666666,16.73297999929762,21.628318584070797
greedy,pv_sweep,20,45,100,10,1,3,20,100,True,5.0,100.0,0.0264175409974996,4060,2901,1159,39,0.39,29.71794871794872,28.54679802955665,63.91863251869502,74.22285987565756,29.317741243548944,34.463276836158194
greedy,pv_sweep,20,42,100,10,1,3,20,200,True,5.0,100.0,0.11958970798877999,6628,5826,802,31,0.155,25.870967741935484,12.100181050090525,84.0039591328993,88.25575173889781,9.442349631072538,13.355537052456286
greedy,pv_sweep,20,43,100,10,1,3,20,200,True,5.0,100.0,0.04983399997581728,6771,5789,982,33,0.165,29.757575757575758,14.503027617781717,85.59057041991824,88.76627051499717,11.464704581232375,15.884826916855387
greedy,pv_sweep,20,44,100,10,1,3,20,200,True,5.0,100.0,0.04196724999928847,6483,5646,837,33,0.165,25.363636363636363,12.910689495603886,77.16860620938573,83.2155477031802,11.191814705266433,14.145681933412202
greedy,pv_sweep,20,45,100,10,1,3,20,200,True,5.0,100.0,0.06570470897713676,7635,6255,1380,43,0.215,32.093023255813954,18.07465618860511,89.24572283813472,89.50263032042085,15.830522450299107,19.89045834534448
greedy,pv_sweep,20,42,100,10,1,3,20,400,True,5.0,100.0,0.0905287500063423,12949,12034,915,33,0.0825,27.727272727272727,7.06618271681211,95.71246503975496,96.97699304440877,4.908653308473312,7.423332792471199
greedy,pv_sweep,20,43,100,10,1,3,20,400,True,5.0,100.0,0.11634358298033476,12991,11932,1059,33,0.0825,32.09090909090909,8.151797398198752,93.23522853957635,94.39728353140917,5.117644283967218,8.538945331398162
greedy,pv_sweep,20,44,100,10,1,3,20,400,True,5.0,100.0,0.18151712502003647,12971,11978,993,38,0.095,26.13157894736842,7.655539279932157,92.8013276252479,95.22968197879857,5.802184229210221,8.004836759371221
greedy,pv_sweep,20,45,100,10,1,3,20,400,True,5.0,100.0,0.139691666001454,13985,12531,1454,44,0.11,33.04545454545455,10.396853771898462,93.53459498135501,93.1611669057867,7.774199707718607,10.942203491872366
greedy,pv_sweep,20,42,100,10,1,3,20,800,True,5.0,100.0,0.179431458003819,25995,25052,943,34,0.0425,27.735294117647058,3.6276206962877477,98.5724123753726,98.66238630283574,2.628642864927329,3.7166955699195965
greedy,pv_sweep,20,43,100,10,1,3,20,800,True,5.0,100.0,0.1968816659937147,26430,25327,1103,34,0.0425,32.44117647058823,4.173287930382141,99.12945930880713,98.13242784380306,2.575086961794653,4.268410665221934
greedy,pv_sweep,20,44,100,10,1,3,20,800,True,5.0,100.0,0.2286354580137413,26053,25005,1048,40,0.05,26.2,4.022569377806779,99.53585600907029,99.61719670200235,3.113831688073477,4.111900184407737
greedy,pv_sweep,20,45,100,10,1,3,20,800,True,5.0,100.0,0.25637849999475293,26919,25387,1532,44,0.055,34.81818181818182,5.691147516623945,97.90733736520869,97.41750358680058,3.6420336683971026,5.842422393410113
greedy,pv_sweep,80,42,100,10,1,3,80,50,True,5.0,100.0,0.04333237500395626,4150,2999,1151,40,0.8,28.775,27.73493975903614,25.03315488322665,28.012633624878518,71.92121858794755,81.86344238975818
greedy,pv_sweep,80,43,100,10,1,3,80,50,True,5.0,100.0,0.04153441701782867,3945,2767,1178,42,0.84,28.047619047619047,29.860583016476554,14.867730511892532,21.660859465737516,79.9221261709711,86.49045521292217
greedy,pv_sweep,80,44,100,10,1,3,80,50,True,5.0,100.0,0.046918916021240875,3863,2801,1062,42,0.84,25.285714285714285,27.49158684959876,23.31399187036414,25.16501650165016,71.66702861508512,73.8012508686588
greedy,pv_sweep,80,45,100,10,1,3,80,50,True,5.0,100.0,0.0514026669843588,4197,2845,1352,47,0.94,28.76595744680851,32.21348582320706,20.352995632411275,26.021382206949216,85.22974896862286,85.67807351077313
greedy,pv_sweep,80,42,100,10,1,3,80,100,True,5.0,100.0,0.17319191701244563,5624,3551,2073,71,0.71,29.197183098591548,36.859886201991465,44.91973379642478,47.19995140913508,59.2800334366461,71.97916666666667
greedy,pv_sweep,80,43,100,10,1,3,80,100,True,5.0,100.0,0.1817432079988066,5548,3184,2364,81,0.81,29.185185185185187,42.60994953136265,38.229004025458714,46.67053813395276,72.66578411970129,79.73018549747049
greedy,pv_sweep,80,44,100,10,1,3,80,100,True,5.0,100.0,0.18416758297826163,5305,3173,2132,83,0.83,25.686746987951807,40.188501413760605,44.48405897913714,49.09928492849284,71.82186477210266,74.0020826102048
greedy,pv_sweep,80,45,100,10,1,3,80,100,True,5.0,100.0,0.24080091700307094,6158,3335,2823,89,0.89,31.719101123595507,45.84280610587853,43.1907786479117,51.43820796741758,78.29574099384456,79.76829612884995
