algorithm,scenario_type,fixed_value,seed,highway_length,min_trip_length,capacity_min,capacity_max,num_av,num_pv,enable_time_constraints,time_tolerance,time_window,runtime_sec,baseline_total_distance,greedy_total_distance,total_saving,matched_pv,matched_ratio,avg_saving_per_pv,saving_percent,av_utilization,av_utilization_weighted,pv_coverage,pv_coverage_weighted
hungarian,capacity_sweep,2,42,100,10,1,2,50,200,True,5.0,100.0,0.013694332999875769,7645,5670,1975,73,0.365,27.054794520547944,25.833878351863966,90.60236449098379,89.09033078880407,22.490033688879276,32.5209945661123
hungarian,capacity_sweep,2,43,100,10,1,2,50,200,True,5.0,100.0,0.020421417022589594,7993,6091,1902,65,0.325,29.26153846153846,23.795821343675716,88.61475887467763,91.22306717363752,21.80759954851333,29.649259547934527
hungarian,capacity_sweep,2,44,100,10,1,2,50,200,True,5.0,100.0,0.020810250018257648,7521,5809,1712,65,0.325,26.338461538461537,22.76293046137482,83.22773351262757,83.91530460624071,21.5366951355338,27.724696356275302
hungarian,capacity_sweep,4,42,100,10,1,4,50,200,True,5.0,100.0,0.03311633298289962,7645,5006,2639,110,0.55,23.990909090909092,34.5192936559843,76.20105131449132,76.7970737913486,35.05544733389729,43.454635270871066
hungarian,capacity_sweep,4,43,100,10,1,4,50,200,True,5.0,100.0,0.030746917007490993,7993,5330,2663,99,0.495,26.8989898989899,33.316652070561744,78.49511320995559,79.5785804816223,36.44037572490234,41.51208106001559
hungarian,capacity_sweep,4,44,100,10,1,4,50,200,True,5.0,100.0,0.04211383400252089,7521,5250,2271,96,0.48,23.65625,30.19545273234942,75.18101475174593,75.89772164437841,33.89845035303586,36.77732793522267
hungarian,capacity_sweep,8,42,100,10,1,8,50,200,True,5.0,100.0,0.07687158300541341,7645,4091,3554,144,0.72,24.680555555555557,46.487900588620015,56.52749036113228,55.552526354053064,53.18736036325888,58.52132389263955
hungarian,capacity_sweep,8,43,100,10,1,8,50,200,True,5.0,100.0,0.0698676249885466,7993,4498,3495,140,0.7,24.964285714285715,43.725760040035034,60.56110836883788,63.361096022692976,52.55771705635308,54.48168355416991
hungarian,capacity_sweep,8,44,100,10,1,8,50,200,True,5.0,100.0,0.07268629199825227,7521,4468,3053,131,0.655,23.30534351145038,40.593006249168994,58.79547079303397,60.13762117031062,49.20700002335905,49.441295546558706
hungarian,capacity_sweep,16,42,100,10,1,16,50,200,True,5.0,100.0,0.14672391599742696,7645,3691,3954,152,0.76,26.013157894736842,51.720078482668406,33.62102744632121,35.068292606460545,60.118066125655744,65.10785443767496
hungarian,capacity_sweep,16,43,100,10,1,16,50,200,True,5.0,100.0,0.1659957499941811,7993,3963,4030,157,0.785,25.668789808917197,50.41911672713625,38.727560752557004,43.93990444845958,62.556020685912515,62.821512081060014
hungarian,capacity_sweep,16,44,100,10,1,16,50,200,True,5.0,100.0,0.1376272090128623,7521,3990,3531,145,0.725,24.351724137931033,46.948544076585556,37.21645558325576,39.188759688388224,57.852720224734774,57.18218623481781
