algorithm,scenario_type,fixed_value,seed,highway_length,min_trip_length,capacity_min,capacity_max,num_av,num_pv,enable_time_constraints,time_tolerance,time_window,runtime_sec,baseline_total_distance,greedy_total_distance,total_saving,matched_pv,matched_ratio,avg_saving_per_pv,saving_percent,av_utilization,av_utilization_weighted,pv_coverage,pv_coverage_weighted
hungarian,length_sweep,50,42,50,10,1,3,80,400,True,5.0,50.0,0.06515191699145362,9642,6648,2994,162,0.405,18.48148148148148,31.05164903546982,98.85489698388963,98.1173864894795,29.49656663159602,36.79488755069436
hungarian,length_sweep,50,43,50,10,1,3,80,400,True,5.0,50.0,0.06378541598678567,9466,6575,2891,161,0.4025,17.956521739130434,30.54088316078597,99.35649932802528,99.12952646239555,29.935686091824632,36.002490660024904
hungarian,length_sweep,50,44,50,10,1,3,80,400,True,5.0,50.0,0.10061491600936279,9438,6374,3064,151,0.3775,20.29139072847682,32.46450519177792,98.14455942958453,97.04171680705977,29.715635003463863,39.40329218106996
hungarian,length_sweep,50,45,50,10,1,3,80,400,True,5.0,50.0,0.0655222499917727,9660,6542,3118,159,0.3975,19.61006289308176,32.27743271221532,98.57641919651661,98.03429527394395,29.88085630644697,38.65608727994049
hungarian,length_sweep,100,42,100,10,1,3,80,400,True,5.0,100.0,0.08907883398933336,15286,10937,4349,143,0.3575,30.412587412587413,28.450870077194818,91.76052651621703,90.48226433430516,23.185728301296617,34.675490352415885
hungarian,length_sweep,100,43,100,10,1,3,80,400,True,5.0,100.0,0.16461325000273064,15284,10400,4884,163,0.4075,29.96319018404908,31.95498560586234,93.01790941737427,92.1086591818299,29.30094858358241,38.453665065742854
hungarian,length_sweep,100,44,100,10,1,3,80,400,True,5.0,100.0,0.09063324998714961,15254,10986,4268,152,0.38,28.07894736842105,27.97954634849875,93.36725184358512,93.26870187018702,26.51093070252388,33.26578332034295
hungarian,length_sweep,100,45,100,10,1,3,80,400,True,5.0,100.0,0.10077229101443663,15844,10723,5121,168,0.42,30.482142857142858,32.321383489017926,91.54152399976103,91.54893725340463,29.365905294048563,38.72211720226843
hungarian,length_sweep,200,42,200,10,1,3,80,400,True,5.0,200.0,0.11520187501446344,28548,21583,6965,140,0.35,49.75,24.397505954883002,82.64900881438527,86.74416904291877,21.761868726391477,29.034140647796907
hungarian,length_sweep,200,43,200,10,1,3,80,400,True,5.0,200.0,0.1802759580023121,27871,20175,7696,160,0.4,48.1,27.612931003552077,80.55252759492052,82.5759184540242,27.562476900774723,33.22683706070288
hungarian,length_sweep,200,44,200,10,1,3,80,400,True,5.0,200.0,0.12831924998317845,26801,19661,7140,157,0.3925,45.47770700636943,26.64079698518712,83.8153643896456,83.39332583427068,25.794143291037617,31.93773483628556
hungarian,length_sweep,200,45,200,10,1,3,80,400,True,5.0,200.0,0.12922187501681037,27373,19280,8093,157,0.3925,51.547770700636946,29.565630365688815,78.74930205162852,82.05100956429331,27.014666115266746,35.70231162872772
hungarian,length_sweep,400,42,400,10,1,3,80,400,True,5.0,400.0,0.12003820898826234,51160,40619,10541,127,0.3175,83.0,20.60398749022674,68.47181533076375,66.62475049900199,20.203076782551836,24.622751693529548
hungarian,length_sweep,400,43,400,10,1,3,80,400,True,5.0,400.0,0.1294438749901019,50746,39977,10769,139,0.3475,77.4748201438849,21.221377054349112,61.966726404309114,61.98460467592023,22.256173989376652,25.27637601220514
hungarian,length_sweep,400,44,400,10,1,3,80,400,True,5.0,400.0,0.27182675001677126,51054,41331,9723,130,0.325,74.79230769230769,19.044541074156776,59.29697547250963,66.83749733077087,20.988856350632183,22.481444657679948
hungarian,length_sweep,400,45,400,10,1,3,80,400,True,5.0,400.0,0.09463012497872114,50300,38199,12101,154,0.385,78.57792207792208,24.05765407554672,61.43980372502949,62.41314852043874,28.215557460716113,29.623736199172562
hungarian,length_sweep,800,42,800,10,1,3,80,400,True,5.0,800.0,0.0862022090004757,102552,88329,14223,96,0.24,148.15625,13.869061549262812,51.06823800830033,46.48399815443983,13.640123862576553,16.412795125666413
hungarian,length_sweep,800,43,800,10,1,3,80,400,True,5.0,800.0,0.1263502090005204,94807,83074,11733,97,0.2425,120.95876288659794,12.375668463299123,44.06613325957158,41.274941212078865,14.38449466042192,14.576966082743198
hungarian,length_sweep,800,44,800,10,1,3,80,400,True,5.0,800.0,0.11491112501244061,95592,82878,12714,87,0.2175,146.13793103448276,13.300276173738387,39.48393556021141,45.12609684067394,13.95726397230216,15.911793049072
hungarian,length_sweep,800,45,800,10,1,3,80,400,True,5.0,800.0,0.13638787498348393,101428,85238,16190,111,0.2775,145.85585585585585,15.962061758094412,43.52089195482601,43.490233368992435,17.44115289133702,19.13666343585258
hungarian,length_sweep,1600,42,1600,10,1,3,80,400,True,5.0,1600.0,0.08381812501465902,202589,185667,16922,64,0.16,264.40625,8.352872071040382,32.00541131009602,28.124966235562322,8.924044809678769,9.853381313395987
hungarian,length_sweep,1600,43,1600,10,1,3,80,400,True,5.0,1600.0,0.09061641700100154,187669,174968,12701,52,0.13,244.25,6.7677666529901055,25.78300202661066,23.497002979074693,7.052924828564114,7.94766219463356
hungarian,length_sweep,1600,44,1600,10,1,3,80,400,True,5.0,1600.0,0.11423804197693244,190611,176499,14112,55,0.1375,256.58181818181816,7.403560130317767,24.433963666799492,27.037678741403838,8.648857444504873,8.850756378414992
hungarian,length_sweep,1600,45,1600,10,1,3,80,400,True,5.0,1600.0,0.0900376669887919,193297,179109,14188,49,0.1225,289.55102040816325,7.340000103467721,20.002399461628542,19.082176945110778,7.745152923886941,8.84737222818089
