algorithm,scenario_type,fixed_value,seed,highway_length,min_trip_length,capacity_min,capacity_max,num_av,num_pv,enable_time_constraints,time_tolerance,time_window,runtime_sec,baseline_total_distance,greedy_total_distance,total_saving,matched_pv,matched_ratio,avg_saving_per_pv,saving_percent,av_utilization,av_utilization_weighted,pv_coverage,pv_coverage_weighted
hungarian,pv_sweep,20,42,100,10,1,3,20,50,False,5.0,100.0,0.006048458017176017,2176,1238,938,33,0.66,28.424242424242426,43.106617647058826,98.07142124806406,96.75166970248937,44.83475112164486,57.65212046711739
hungarian,pv_sweep,20,43,100,10,1,3,20,50,False,5.0,100.0,0.007342625001911074,2329,1060,1269,42,0.84,30.214285714285715,54.4869042507514,82.05575925533944,80.82758620689656,73.12601816595752,79.11471321695761
hungarian,pv_sweep,20,44,100,10,1,3,20,50,False,5.0,100.0,0.007883500016760081,2402,1153,1249,41,0.82,30.463414634146343,51.998334721065774,93.70561202560084,92.75466284074605,64.1991790585255,73.25513196480938
hungarian,pv_sweep,20,42,100,10,1,3,20,100,False,5.0,100.0,0.009576208016369492,3761,2789,972,32,0.32,30.375,25.844190374900293,99.73039215686273,99.33211900425016,18.561367874504793,30.26151930261519
hungarian,pv_sweep,20,43,100,10,1,3,20,100,False,5.0,100.0,0.01698112499434501,3883,2321,1562,45,0.45,34.71111111111111,40.226628895184135,97.12040087678113,95.37931034482759,35.575259940593085,49.46168461051298
hungarian,pv_sweep,20,44,100,10,1,3,20,100,False,5.0,100.0,0.015938374999677762,3881,2563,1318,41,0.41,32.146341463414636,33.96031950528214,98.09019897545144,97.32185557149688,27.61041977371107,41.39447236180904
hungarian,pv_sweep,20,42,100,10,1,3,20,200,False,5.0,100.0,0.02147279100609012,7218,6237,981,32,0.16,30.65625,13.591022443890274,99.95098039215686,99.87856709168184,9.057192594302004,14.709851551956815
hungarian,pv_sweep,20,43,100,10,1,3,20,200,False,5.0,100.0,0.027722666010959074,7222,5595,1627,42,0.21,38.73809523809524,22.52838548878427,99.42618011093481,99.03448275862068,15.241909411293875,25.04232722795136
hungarian,pv_sweep,20,44,100,10,1,3,20,200,False,5.0,100.0,0.024612875015009195,7105,5740,1365,36,0.18,37.916666666666664,19.21182266009852,99.95555555555555,99.90435198469633,11.571016161065993,21.301498127340825
hungarian,pv_sweep,20,42,100,10,1,3,20,400,False,5.0,100.0,0.055005834001349285,13531,12548,983,32,0.08,30.71875,7.264799349641564,100.0,100.0,4.587958092308557,7.5720228008011095
hungarian,pv_sweep,20,43,100,10,1,3,20,400,False,5.0,100.0,0.06669291699654423,13656,12013,1643,42,0.105,39.11904761904762,12.031341534856473,99.87998451413085,99.77011494252875,7.251117603422312,12.705900549068131
hungarian,pv_sweep,20,44,100,10,1,3,20,400,False,5.0,100.0,0.06140554102603346,13890,12523,1367,36,0.09,37.97222222222222,9.841612670986322,100.0,100.0,5.709015721174453,10.361555370272114
hungarian,pv_sweep,80,42,100,10,1,3,80,50,False,5.0,100.0,0.01709341601235792,4031,2379,1652,50,1.0,33.04,40.98238650458943,34.3903721314266,45.924764890282134,94.03182055253215,91.87986651835372
hungarian,pv_sweep,80,43,100,10,1,3,80,50,False,5.0,100.0,0.017156166984932497,4136,2580,1556,50,1.0,31.12,37.620889748549324,25.933776439964852,31.368722352328913,99.11848303432168,98.856416772554
hungarian,pv_sweep,80,44,100,10,1,3,80,50,False,5.0,100.0,0.012164124986156821,4198,2758,1440,50,1.0,28.8,34.30204859456884,24.991837587794887,28.38427947598253,99.58766786401566,99.3103448275862
hungarian,pv_sweep,80,42,100,10,1,3,80,100,False,5.0,100.0,0.04340158301056363,5652,2597,3055,100,1.0,30.55,54.05166312809625,78.51318208588216,78.44454396178534,87.9218371832414,89.35361216730038
hungarian,pv_sweep,80,43,100,10,1,3,80,100,False,5.0,100.0,0.040716957999393344,5884,2861,3023,100,1.0,30.23,51.37661454792658,64.5468403433708,62.360135310955,90.59499717228404,90.99939795304034
hungarian,pv_sweep,80,44,100,10,1,3,80,100,False,5.0,100.0,0.034772500017425045,5876,2972,2904,100,1.0,29.04,49.4213750850919,61.874345774734515,58.630519165453684,91.63788381238535,92.8388746803069
hungarian,pv_sweep,80,42,100,10,1,3,80,200,False,5.0,100.0,0.15867412500665523,8950,4707,4243,137,0.685,30.970802919708028,47.40782122905028,99.18471754822572,98.43260188087773,52.13180213741316,63.16808098853655
hungarian,pv_sweep,80,43,100,10,1,3,80,200,False,5.0,100.0,0.20191225002054125,9102,3833,5269,165,0.825,31.933333333333334,57.88837618105911,96.77416818034584,95.62190996617227,71.06371993697286,80.565749235474
hungarian,pv_sweep,80,44,100,10,1,3,80,200,False,5.0,100.0,0.14011708300677128,9458,4291,5167,161,0.805,32.09316770186335,54.6310002114612,94.67177016635551,93.11620572537603,68.30797707418552,77.00447093889717
hungarian,pv_sweep,80,42,100,10,1,3,80,400,False,5.0,100.0,0.3304582500131801,15289,10961,4328,135,0.3375,32.05925925925926,28.30793380862058,99.95521275520517,99.85072398865502,24.182488912654108,33.14950980392157
hungarian,pv_sweep,80,43,100,10,1,3,80,400,False,5.0,100.0,0.336966584000038,15614,10091,5523,153,0.3825,36.09803921568628,35.372101959779684,99.68949184279028,99.34296122820713,28.13086483727725,42.315353968740425
hungarian,pv_sweep,80,44,100,10,1,3,80,400,False,5.0,100.0,0.2988499169878196,15919,10276,5643,156,0.39,36.17307692307692,35.44820654563729,99.66964822605027,99.31465308102861,29.370835604313065,42.844127249259735
hungarian,pv_sweep,160,42,100,10,1,3,160,50,False,5.0,100.0,0.03665770901716314,6236,4784,1452,50,1.0,29.04,23.284156510583706,15.212030547957074,20.368046842325388,99.93796992481202,99.8624484181568
hungarian,pv_sweep,160,43,100,10,1,3,160,50,False,5.0,100.0,0.04557299998123199,6890,5284,1606,50,1.0,32.12,23.309143686502175,14.002735322189519,17.380185641219924,99.78774983881367,99.68963376784606
hungarian,pv_sweep,160,44,100,10,1,3,160,50,False,5.0,100.0,0.04102441601571627,6881,5221,1660,50,1.0,33.2,24.12440052317977,12.45076998876101,17.69953952417498,99.7388273548413,99.46075494307969
hungarian,pv_sweep,160,42,100,10,1,3,160,100,False,5.0,100.0,0.07589879099396057,7947,4834,3113,100,1.0,31.13,39.17201459670316,34.31687849380537,42.039592917886516,97.86042350367872,98.35703001579779
hungarian,pv_sweep,160,43,100,10,1,3,160,100,False,5.0,100.0,0.08920924999983981,8604,5311,3293,100,1.0,32.93,38.27289632728964,30.227342721438635,36.27580981246447,99.22967599504587,99.0375939849624
hungarian,pv_sweep,160,44,100,10,1,3,160,100,False,5.0,100.0,0.0812282920232974,8685,5306,3379,100,1.0,33.79,38.90616004605642,31.22862761533898,39.338705551291895,97.72425873369569,97.29340627699395
hungarian,pv_sweep,160,42,100,10,1,3,160,200,False,5.0,100.0,0.23378016601782292,11088,5441,5647,198,0.99,28.52020202020202,50.92893217893217,72.54022447457545,70.13104698173707,87.54106495596386,89.54963526799874
hungarian,pv_sweep,160,43,100,10,1,3,160,200,False,5.0,100.0,0.2395545830077026,11704,5698,6006,200,1.0,30.03,51.31578947368421,63.01085047913766,62.17402285786448,92.56458036015472,93.47859922178988
