num_av,num_pv,highway_length,seed,reference,proven_optimal,greedy,ila,greedy_pct,ila_pct,n_segments,n_partial,partial_pct,n_vars,n_constraints,seconds
4,8,50,42,41,True,38,38,92.6829,92.6829,4,1,25.00,122,318,0.01
4,8,50,43,146,True,146,146,100.0000,100.0000,9,2,22.22,736,2603,0.04
4,8,50,44,105,True,85,85,80.9524,80.9524,8,4,50.00,408,1317,0.03
5,10,60,42,138,True,128,135,92.7536,97.8261,11,4,36.36,500,1482,0.02
5,10,60,43,194,True,169,162,87.1134,83.5052,14,9,64.29,692,2516,0.03
5,10,60,44,163,True,159,159,97.5460,97.5460,10,5,50.00,1064,4053,0.09
6,12,80,42,134,True,134,118,100.0000,88.0597,10,6,60.00,1010,3627,0.08
6,12,80,43,312,True,282,274,90.3846,87.8205,16,6,37.50,1510,6111,0.18
6,12,80,44,193,True,177,188,91.7098,97.4093,13,6,46.15,924,3137,0.05
8,15,100,42,223,True,210,207,94.1704,92.8251,15,6,40.00,1640,5829,0.14
8,15,100,43,513,True,454,456,88.4990,88.8889,30,20,66.67,3480,14465,0.60
8,15,100,44,404,True,374,390,92.5743,96.5347,29,23,79.31,3170,12411,0.36
10,20,100,42,310,True,310,308,100.0000,99.3548,21,9,42.86,3740,13164,0.34
10,20,100,43,573,True,538,517,93.8918,90.2269,37,23,62.16,4828,19355,1.15
10,20,100,44,471,True,428,451,90.8705,95.7537,33,20,60.61,3676,13563,0.42
12,25,100,42,457,True,441,450,96.4989,98.4683,27,10,37.04,6312,23337,1.00
12,25,100,43,693,True,661,631,95.3824,91.0534,43,26,60.47,6874,27609,4.88
12,25,100,44,644,True,615,619,95.4969,96.1180,46,31,67.39,7410,29114,2.74
15,30,100,42,601,True,585,593,97.3378,98.6689,41,23,56.10,9392,34393,15.85
15,30,100,43,765,True,695,681,90.8497,89.0196,51,30,58.82,9094,35321,12.42
15,30,100,44,818,True,747,754,91.3203,92.1760,58,39,67.24,10494,40305,141.86
