num_av,num_pv,seed,opt_any,opt_suffix,greedy,ila
4,8,42,41.0,41.0,38.0,38.0
4,8,43,146.0,146.0,146.0,146.0
4,8,44,105.0,102.0,85.0,85.0
5,10,42,138.0,137.0,128.0,135.0
5,10,43,194.0,184.0,169.0,162.0
5,10,44,163.0,162.0,159.0,159.0
6,12,42,134.0,134.0,134.0,118.0
6,12,43,312.0,312.0,282.0,274.0
6,12,44,193.0,193.0,177.0,188.0
8,15,42,223.0,219.0,210.0,207.0
8,15,43,513.0,511.0,454.0,456.0
8,15,44,404.0,404.0,374.0,390.0
10,20,42,310.0,310.0,310.0,308.0
10,20,43,573.0000000000001,573.0,538.0,517.0
10,20,44,471.00000000000006,471.0,428.0,451.0
12,25,42,457.0,456.0000000000002,441.0,450.0
12,25,43,693.0,693.0,661.0,631.0
12,25,44,644.0,644.0,615.0,619.0
