seed,ratio,n_av,n_pv,algorithm,time_on,saving_percent,segments,runtime_s
42,0.2,238,1191,greedy,False,50.1,721,85.16
42,0.2,238,1191,greedy,True,43.686,705,61.21
42,0.2,238,1191,ILA,False,50.1,721,1.0
42,0.2,238,1191,ILA,True,44.282,769,1.62
42,0.4,408,1021,greedy,False,71.226,1022,111.97
42,0.4,408,1021,greedy,True,58.96,962,99.79
42,0.4,408,1021,ILA,False,71.226,1022,2.13
42,0.4,408,1021,ILA,True,60.819,1109,3.13
42,0.6,536,893,greedy,False,62.276,893,135.91
42,0.6,536,893,greedy,True,58.82,938,108.75
42,0.6,536,893,ILA,False,62.276,893,1.48
42,0.6,536,893,ILA,True,59.85,968,2.28
42,0.8,635,794,greedy,False,55.654,794,109.87
42,0.8,635,794,greedy,True,54.198,845,110.91
42,0.8,635,794,ILA,False,55.654,794,2.52
42,0.8,635,794,ILA,True,54.692,848,2.57
7,0.2,238,1191,greedy,False,50.351,720,82.0
7,0.2,238,1191,greedy,True,43.648,711,65.19
7,0.2,238,1191,ILA,False,50.351,720,1.32
7,0.2,238,1191,ILA,True,44.742,773,2.45
7,0.4,408,1021,greedy,False,70.965,1034,121.92
7,0.4,408,1021,greedy,True,56.87,942,103.61
7,0.4,408,1021,ILA,False,70.843,1021,1.28
7,0.4,408,1021,ILA,True,58.281,1033,2.1
7,0.6,536,893,greedy,False,63.226,893,131.7
7,0.6,536,893,greedy,True,56.099,923,106.64
7,0.6,536,893,ILA,False,63.226,893,1.51
7,0.6,536,893,ILA,True,57.518,976,3.23
7,0.8,635,794,greedy,False,56.284,794,120.36
7,0.8,635,794,greedy,True,54.283,864,103.69
7,0.8,635,794,ILA,False,56.284,794,2.71
7,0.8,635,794,ILA,True,54.53,858,2.73
13,0.2,238,1191,greedy,False,50.49,716,82.44
13,0.2,238,1191,greedy,True,45.568,734,69.24
13,0.2,238,1191,ILA,False,50.49,716,1.1
13,0.2,238,1191,ILA,True,45.913,756,1.65
13,0.4,408,1021,greedy,False,71.634,1037,126.25
13,0.4,408,1021,greedy,True,60.83,1008,110.52
13,0.4,408,1021,ILA,False,71.685,1032,1.6
13,0.4,408,1021,ILA,True,62.159,1108,2.52
13,0.6,536,893,greedy,False,63.082,900,113.02
13,0.6,536,893,greedy,True,59.149,957,104.57
13,0.6,536,893,ILA,False,63.082,900,2.2
13,0.6,536,893,ILA,True,60.193,975,1.99
13,0.8,635,794,greedy,False,56.341,797,103.51
13,0.8,635,794,greedy,True,54.683,861,89.71
13,0.8,635,794,ILA,False,56.341,797,2.35
13,0.8,635,794,ILA,True,55.067,851,2.57
21,0.2,238,1191,greedy,False,50.327,709,75.96
21,0.2,238,1191,greedy,True,46.041,718,60.43
21,0.2,238,1191,ILA,False,50.327,709,0.95
21,0.2,238,1191,ILA,True,46.769,756,1.58
21,0.4,408,1021,greedy,False,72.054,1035,111.45
21,0.4,408,1021,greedy,True,61.738,1018,122.66
21,0.4,408,1021,ILA,False,72.121,1035,2.56
21,0.4,408,1021,ILA,True,62.526,1096,3.18
21,0.6,536,893,greedy,False,64.105,893,136.49
21,0.6,536,893,greedy,True,60.491,966,125.29
21,0.6,536,893,ILA,False,64.105,893,1.71
21,0.6,536,893,ILA,True,61.399,972,2.29
21,0.8,635,794,greedy,False,57.107,794,112.13
21,0.8,635,794,greedy,True,55.197,865,100.51
21,0.8,635,794,ILA,False,57.107,794,1.94
21,0.8,635,794,ILA,True,55.46,856,2.07
99,0.2,238,1191,greedy,False,48.032,708,83.43
99,0.2,238,1191,greedy,True,42.488,712,62.7
99,0.2,238,1191,ILA,False,48.032,708,1.09
99,0.2,238,1191,ILA,True,43.591,754,2.26
99,0.4,408,1021,greedy,False,70.926,1021,126.57
99,0.4,408,1021,greedy,True,59.92,974,105.8
99,0.4,408,1021,ILA,False,70.99,1021,1.24
99,0.4,408,1021,ILA,True,61.555,1066,1.94
99,0.6,536,893,greedy,False,62.217,893,118.8
99,0.6,536,893,greedy,True,57.462,907,107.9
99,0.6,536,893,ILA,False,62.217,893,1.43
99,0.6,536,893,ILA,True,58.453,937,2.51
99,0.8,635,794,greedy,False,55.06,794,120.24
99,0.8,635,794,greedy,True,52.981,839,100.04
99,0.8,635,794,ILA,False,55.06,794,1.76
99,0.8,635,794,ILA,True,53.636,847,2.41
